Plot Title: 10859627					
#	"Date Time, GMT-08:00"	"Temp, °C (LGR S/N: 10859627, SEN S/N: 10836776)"	"Temp, °C (LGR S/N: 10859627, SEN S/N: 10836777)"	"Water Content, m³/m³ (LGR S/N: 10859627, SEN S/N: 10880728)"	"Water Content, m³/m³ (LGR S/N: 10859627, SEN S/N: 10880729)"
1	2/1/2016 0:00	21.819	21.939	-0.0069	-0.1337
2	2/1/2016 1:00	21.748	21.843	-0.0069	-0.1337
3	2/1/2016 2:00	21.7	21.795	-0.0069	-0.1327
4	2/1/2016 3:00	21.628	21.748	-0.0069	-0.1337
5	2/1/2016 4:00	21.557	21.676	-0.0069	-0.1337
6	2/1/2016 5:00	21.509	21.628	-0.0069	-0.1337
7	2/1/2016 6:00	21.437	21.533	-0.0069	-0.1337
8	2/1/2016 7:00	21.366	21.461	-0.008	-0.1337
9	2/1/2016 8:00	21.39	21.437	-0.008	-0.1337
10	2/1/2016 9:00	21.581	21.533	-0.008	-0.1337
11	2/1/2016 10:00	21.652	21.557	-0.008	-0.1337
12	2/1/2016 11:00	21.724	21.628	-0.008	-0.1337
13	2/1/2016 12:00	21.819	21.724	-0.008	-0.1337
14	2/1/2016 13:00	21.867	21.772	-0.008	-0.1337
15	2/1/2016 14:00	21.987	21.867	-0.008	-0.1337
16	2/1/2016 15:00	22.082	21.963	-0.008	-0.1337
17	2/1/2016 16:00	22.106	22.011	-0.0069	-0.1337
18	2/1/2016 17:00	22.154	22.034	-0.0069	-0.1337
19	2/1/2016 18:00	22.154	22.082	-0.0069	-0.1337
20	2/1/2016 19:00	22.154	22.106	-0.0069	-0.1337
21	2/1/2016 20:00	22.011	22.058	-0.0069	-0.1337
22	2/1/2016 21:00	21.867	21.963	-0.0069	-0.1337
23	2/1/2016 22:00	21.772	21.867	-0.0069	-0.1337
24	2/1/2016 23:00	21.676	21.819	-0.0069	-0.1337
25	2/2/2016 0:00	21.604	21.748	-0.0069	-0.1337
26	2/2/2016 1:00	21.533	21.676	-0.0069	-0.1337
27	2/2/2016 2:00	21.437	21.581	-0.0069	-0.1337
28	2/2/2016 3:00	21.342	21.485	-0.008	-0.1337
29	2/2/2016 4:00	21.27	21.39	-0.008	-0.1337
30	2/2/2016 5:00	21.175	21.318	-0.008	-0.1337
31	2/2/2016 6:00	20.936	21.151	-0.008	-0.1337
32	2/2/2016 7:00	20.674	20.936	-0.008	-0.1337
33	2/2/2016 8:00	20.603	20.817	-0.008	-0.1337
34	2/2/2016 9:00	20.817	20.865	-0.008	-0.1337
35	2/2/2016 10:00	21.008	20.984	-0.008	-0.1337
36	2/2/2016 11:00	20.579	20.77	-0.008	-0.1337
37	2/2/2016 12:00	20.15	20.46	-0.008	-0.1337
38	2/2/2016 13:00	20.388	20.484	-0.008	-0.1337
39	2/2/2016 14:00	20.746	20.698	-0.008	-0.1337
40	2/2/2016 15:00	21.437	21.724	0.02	-0.0579
41	2/2/2016 16:00	24.002	24.026	0.019	-0.055
42	2/2/2016 17:00	24.171	23.665	0.0186	-0.067
43	2/2/2016 18:00	23.136	22.561	0.019	-0.0662
44	2/2/2016 19:00	22.417	22.489	0.0186	-0.067
45	2/2/2016 20:00	20.246	16.01	0.0161	-0.067
46	2/2/2016 21:00	15.772	12.678	0.02	-0.0757
47	2/2/2016 22:00	13.257	10.761	0.0176	-0.0765
48	2/2/2016 23:00	11.2	8.841	0.0161	-0.0781
49	2/3/2016 0:00	9.361	7.167	0.0147	-0.0789
50	2/3/2016 1:00	7.77	5.796	0.0127	-0.0805
51	2/3/2016 2:00	6.433	4.714	0.0122	-0.0814
52	2/3/2016 3:00	5.308	3.827	0.0112	-0.0814
53	2/3/2016 4:00	4.376	3.063	0.0107	-0.0822
54	2/3/2016 5:00	3.564	2.343	0.0087	-0.0822
55	2/3/2016 6:00	2.85	1.724	0.0087	-0.0822
56	2/3/2016 7:00	2.209	1.262	0.0081	-0.083
57	2/3/2016 8:00	1.697	0.907	0.0081	-0.083
58	2/3/2016 9:00	1.317	0.687	0.0081	-0.083
59	2/3/2016 10:00	1.235	1.289	0.0071	-0.0814
60	2/3/2016 11:00	1.886	1.859	0.0071	-0.0805
61	2/3/2016 12:00	5.205	4.168	0.0097	-0.0701
62	2/3/2016 13:00	8.593	6.737	0.0127	-0.0572
63	2/3/2016 14:00	11.224	9.089	0.0137	-0.0572
64	2/3/2016 15:00	13.209	11.053	0.0147	-0.0572
65	2/3/2016 16:00	12.703	11.977	-0.0915	-0.1198
66	2/3/2016 17:00	13.642	13.666	-0.0994	-0.1452
67	2/3/2016 18:00	12.558	12.219	-0.0958	-0.0781
68	2/3/2016 19:00	11.467	11.151	-0.0967	-0.0789
69	2/3/2016 20:00	10.222	9.879	-0.1122	-0.0725
70	2/3/2016 21:00	9.015	8.693	-0.115	-0.0733
71	2/3/2016 22:00	7.945	7.619	-0.1179	-0.0749
72	2/3/2016 23:00	7.091	6.788	-0.1189	-0.0757
73	2/4/2016 0:00	6.204	5.949	-0.1198	-0.0757
74	2/4/2016 1:00	5.308	5.05	-0.1227	-0.0757
75	2/4/2016 2:00	4.532	4.298	-0.1237	-0.0765
76	2/4/2016 3:00	3.906	3.67	-0.1247	-0.0781
77	2/4/2016 4:00	3.459	3.248	-0.1267	-0.0781
78	2/4/2016 5:00	3.063	2.903	-0.1267	-0.0781
79	2/4/2016 6:00	2.637	2.477	-0.1277	-0.0781
80	2/4/2016 7:00	2.101	1.913	-0.1277	-0.0781
81	2/4/2016 8:00	1.751	1.588	-0.1287	-0.0789
82	2/4/2016 9:00	2.209	2.182	-0.1039	-0.0814
83	2/4/2016 10:00	5.77	6.153	-0.0609	-0.2
84	2/4/2016 11:00	24.532	21.724	0.2502	0.2618
85	2/4/2016 12:00	22.13	25.283	0.2524	0.2635
86	2/4/2016 13:00	17.058	19.008	0.2532	0.266
87	2/4/2016 14:00	12.074	13.882	0.2538	0.2687
88	2/4/2016 15:00	11.977	13.257	0.2538	0.2691
89	2/4/2016 16:00	12.243	13.666	0.2534	0.2684
90	2/4/2016 17:00	7.72	9.829	0.2538	0.2691
91	2/4/2016 18:00	2.155	3.538	0.2542	0.2712
92	2/4/2016 19:00	-0.311	1.67	0.2546	0.2712
93	2/4/2016 20:00	0.079	1.615	0.2542	0.2712
94	2/4/2016 21:00	-0.143	1.453	0.2542	0.2708
95	2/4/2016 22:00	-0.704	0.77	0.2546	0.2708
96	2/4/2016 23:00	-1.071	0.495	0.2546	0.2708
97	2/5/2016 0:00	-0.255	0.273	0.2546	0.2708
98	2/5/2016 1:00	-0.116	1.262	0.2542	0.2705
99	2/5/2016 2:00	0.107	1.805	0.2542	0.2701
100	2/5/2016 3:00	0.273	1.534	0.2542	0.2701
101	2/5/2016 4:00	0.742	1.94	0.2542	0.2698
102	2/5/2016 5:00	-0.06	0.989	0.2542	0.2698
103	2/5/2016 6:00	0.135	1.453	0.2542	0.2698
104	2/5/2016 7:00	0.522	1.832	0.2542	0.2694
105	2/5/2016 8:00	6.255	6.051	0.2538	0.2677
106	2/5/2016 9:00	14.96	12.606	0.2532	0.2657
107	2/5/2016 10:00	25.477	21.437	0.252	0.2624
108	2/5/2016 11:00	22.441	21.366	0.252	0.2621
109	2/5/2016 12:00	29.115	27.974	0.2512	0.2607
110	2/5/2016 13:00	24.412	27.456	0.2516	0.2611
111	2/5/2016 14:00	20.293	25.016	0.252	0.2621
112	2/5/2016 15:00	18.39	21.485	0.252	0.2635
113	2/5/2016 16:00	14.721	18.485	0.2524	0.2639
114	2/5/2016 17:00	9.139	10.32	0.2528	0.266
115	2/5/2016 18:00	4.792	6.204	0.2528	0.2673
116	2/5/2016 19:00	3.512	5.154	0.2528	0.267
117	2/5/2016 20:00	3.116	4.844	0.2528	0.2666
118	2/5/2016 21:00	1.994	3.827	0.2532	0.2666
119	2/5/2016 22:00	0.825	2.503	0.2528	0.2666
120	2/5/2016 23:00	1.805	3.459	0.2528	0.2664
121	2/6/2016 0:00	1.289	2.903	0.2528	0.2664
122	2/6/2016 1:00	-0.143	2.262	0.2528	0.2664
123	2/6/2016 2:00	1.044	3.248	0.2528	0.2657
124	2/6/2016 3:00	0.495	2.37	0.2524	0.266
125	2/6/2016 4:00	-1.27	0.577	0.2528	0.2664
126	2/6/2016 5:00	-1.727	0.356	0.2528	0.2664
127	2/6/2016 6:00	-1.47	0.66	0.2528	0.2664
128	2/6/2016 7:00	-0.789	1.94	0.2524	0.266
129	2/6/2016 8:00	9.361	10.345	0.252	0.2628
130	2/6/2016 9:00	14.29	15.103	0.2512	0.2607
131	2/6/2016 10:00	20.055	19.484	0.2505	0.2585
132	2/6/2016 11:00	28.692	24.798	0.2494	0.2567
133	2/6/2016 12:00	27.456	27.358	0.2498	0.2567
134	2/6/2016 13:00	25.162	27.014	0.2498	0.2571
135	2/6/2016 14:00	20.913	25.258	0.2498	0.2582
136	2/6/2016 15:00	17.724	21.079	0.2502	0.2596
137	2/6/2016 16:00	15.199	18.224	0.2502	0.2596
138	2/6/2016 17:00	10.541	12.316	0.2502	0.2611
139	2/6/2016 18:00	4.688	6.204	0.2509	0.2628
140	2/6/2016 19:00	3.354	4.869	0.2509	0.2628
141	2/6/2016 20:00	2.877	4.662	0.2512	0.2624
142	2/6/2016 21:00	3.459	4.999	0.2509	0.2621
143	2/6/2016 22:00	2.37	4.324	0.2509	0.2621
144	2/6/2016 23:00	2.047	3.512	0.2509	0.2621
145	2/7/2016 0:00	-0.423	1.208	0.2509	0.2624
146	2/7/2016 1:00	-0.479	1.126	0.2509	0.2624
147	2/7/2016 2:00	-0.648	1.453	0.2509	0.2621
148	2/7/2016 3:00	1.099	2.77	0.2509	0.2618
149	2/7/2016 4:00	1.507	3.142	0.2505	0.2615
150	2/7/2016 5:00	2.021	3.301	0.2505	0.2615
151	2/7/2016 6:00	1.099	2.61	0.2505	0.2615
152	2/7/2016 7:00	-1.128	0.797	0.2505	0.2618
153	2/7/2016 8:00	11.273	10.687	0.2498	0.2579
154	2/7/2016 9:00	17.153	15.939	0.249	0.2564
155	2/7/2016 10:00	25.307	21.413	0.2483	0.2546
156	2/7/2016 11:00	27.998	27.235	0.2475	0.2516
157	2/7/2016 12:00	24.992	25.987	0.2475	0.2528
158	2/7/2016 13:00	26.475	29.439	0.2475	0.252
159	2/7/2016 14:00	25.331	29.69	0.2475	0.252
160	2/7/2016 15:00	23.328	27.727	0.2479	0.2528
161	2/7/2016 16:00	19.056	23.93	0.2479	0.2532
162	2/7/2016 17:00	13.137	15.7	0.2483	0.2542
163	2/7/2016 18:00	8.095	10.149	0.2487	0.256
164	2/7/2016 19:00	5.411	7.419	0.2487	0.256
165	2/7/2016 20:00	7.142	9.583	0.2483	0.2553
166	2/7/2016 21:00	7.066	9.089	0.2483	0.2553
167	2/7/2016 22:00	4.428	6.128	0.2483	0.2557
168	2/7/2016 23:00	4.324	6.281	0.2483	0.2553
169	2/8/2016 0:00	4.947	6.94	0.2479	0.2546
170	2/8/2016 1:00	3.775	5.719	0.2479	0.2546
171	2/8/2016 2:00	3.301	5.385	0.2475	0.2546
172	2/8/2016 3:00	3.854	7.015	0.2475	0.2542
173	2/8/2016 4:00	3.036	5.411	0.2475	0.2542
174	2/8/2016 5:00	2.903	4.895	0.2475	0.2542
175	2/8/2016 6:00	1.805	3.906	0.2475	0.2542
176	2/8/2016 7:00	3.221	4.921	0.2475	0.2538
177	2/8/2016 8:00	16.01	15.867	0.2464	0.2494
178	2/8/2016 9:00	31.535	24.944	0.2449	0.2464
179	2/8/2016 10:00	36.688	29.015	0.2441	0.2441
180	2/8/2016 11:00	36.933	32.278	0.2434	0.2421
181	2/8/2016 12:00	31.433	32.794	0.2434	0.2425
182	2/8/2016 13:00	29.065	33.339	0.2437	0.243
183	2/8/2016 14:00	26.451	32.381	0.2437	0.2434
184	2/8/2016 15:00	23.352	29.315	0.2441	0.2437
185	2/8/2016 16:00	20.365	25.574	0.2445	0.2441
186	2/8/2016 17:00	15.891	19.008	0.2445	0.2449
187	2/8/2016 18:00	9.928	12.171	0.2449	0.2475
188	2/8/2016 19:00	9.015	10.956	0.2449	0.2468
189	2/8/2016 20:00	7.167	9.485	0.2445	0.2468
190	2/8/2016 21:00	6.788	9.262	0.2445	0.246
191	2/8/2016 22:00	6.458	8.767	0.2445	0.2456
192	2/8/2016 23:00	7.393	9.756	0.2441	0.2452
193	2/9/2016 0:00	5.872	7.795	0.2441	0.2456
194	2/9/2016 1:00	4.376	6.484	0.2441	0.2456
195	2/9/2016 2:00	3.696	5.796	0.2441	0.2456
196	2/9/2016 3:00	3.274	5.411	0.2441	0.2456
197	2/9/2016 4:00	2.717	5.231	0.2441	0.2452
198	2/9/2016 5:00	3.248	5.642	0.2437	0.2452
199	2/9/2016 6:00	3.116	4.999	0.2437	0.2449
200	2/9/2016 7:00	2.877	4.895	0.2441	0.2452
201	2/9/2016 8:00	15.867	14.409	0.243	0.2403
202	2/9/2016 9:00	31.103	24.992	0.2414	0.2371
203	2/9/2016 10:00	36.2	28.468	0.2403	0.2347
204	2/9/2016 11:00	37.59	34.519	0.2394	0.2327
205	2/9/2016 12:00	34.413	35.022	0.239	0.2327
206	2/9/2016 13:00	31.996	33.966	0.2394	0.2335
207	2/9/2016 14:00	30.849	35.904	0.2394	0.2318
208	2/9/2016 15:00	27.776	32.201	0.2394	0.2323
209	2/9/2016 16:00	23.256	26.671	0.2399	0.2335
210	2/9/2016 17:00	16.82	18.652	0.2403	0.2347
211	2/9/2016 18:00	10.541	12.606	0.2406	0.2363
212	2/9/2016 19:00	7.293	10.149	0.2406	0.2363
213	2/9/2016 20:00	9.682	11.71	0.2403	0.2347
214	2/9/2016 21:00	5.719	7.594	0.2403	0.2355
215	2/9/2016 22:00	5.179	6.864	0.2403	0.2355
216	2/9/2016 23:00	4.999	7.87	0.2403	0.2351
217	2/10/2016 0:00	6.484	8.99	0.2403	0.2344
218	2/10/2016 1:00	5.668	7.72	0.2403	0.2347
219	2/10/2016 2:00	4.506	6.382	0.2403	0.2347
220	2/10/2016 3:00	3.327	5.565	0.2403	0.2351
221	2/10/2016 4:00	1.994	4.011	0.2403	0.2355
222	2/10/2016 5:00	2.047	3.906	0.2403	0.2351
223	2/10/2016 6:00	1.507	3.749	0.2403	0.2351
224	2/10/2016 7:00	2.343	4.61	0.2403	0.2351
225	2/10/2016 8:00	16.534	15.366	0.2387	0.2294
226	2/10/2016 9:00	27.358	21.008	0.2379	0.2277
227	2/10/2016 10:00	37.096	27.358	0.2363	0.2245
228	2/10/2016 11:00	39.205	32.227	0.2355	0.2229
229	2/10/2016 12:00	35.636	36.525	0.2351	0.2216
230	2/10/2016 13:00	28.568	34.572	0.2355	0.2224
231	2/10/2016 14:00	26.012	32.587	0.2355	0.2224
232	2/10/2016 15:00	23.256	28.171	0.2355	0.2232
233	2/10/2016 16:00	20.293	24.388	0.2355	0.2229
234	2/10/2016 17:00	15.079	17.677	0.2355	0.2241
235	2/10/2016 18:00	8.494	10.1	0.2358	0.2262
236	2/10/2016 19:00	7.192	9.139	0.2363	0.2262
237	2/10/2016 20:00	4.063	6.839	0.2363	0.2262
238	2/10/2016 21:00	2.877	5.179	0.2363	0.2262
239	2/10/2016 22:00	2.155	4.792	0.2363	0.2257
240	2/10/2016 23:00	1.832	4.506	0.2363	0.2257
241	2/11/2016 0:00	0.797	2.823	0.2363	0.2262
242	2/11/2016 1:00	0.495	2.903	0.2363	0.2257
243	2/11/2016 2:00	0.934	3.354	0.2363	0.2249
244	2/11/2016 3:00	2.877	5.745	0.2363	0.2245
245	2/11/2016 4:00	4.714	7.419	0.2363	0.2237
246	2/11/2016 5:00	2.343	5.05	0.2363	0.2241
247	2/11/2016 6:00	-0.676	1.289	0.2363	0.2254
248	2/11/2016 7:00	-0.004	1.886	0.2363	0.2249
249	2/11/2016 8:00	19.341	16.606	0.2351	0.2182
250	2/11/2016 9:00	27.677	21.987	0.2335	0.2169
251	2/11/2016 10:00	38.198	27.653	0.2318	0.2134
252	2/11/2016 11:00	42.953	33.914	0.2306	0.2112
253	2/11/2016 12:00	43.829	37.124	0.2299	0.2104
254	2/11/2016 13:00	35.368	38.868	0.2303	0.2095
255	2/11/2016 14:00	33.027	39.403	0.2299	0.2083
256	2/11/2016 15:00	29.04	36.362	0.2303	0.2078
257	2/11/2016 16:00	23.352	29.59	0.2303	0.2087
258	2/11/2016 17:00	16.582	19.532	0.2303	0.2104
259	2/11/2016 18:00	10.834	12.896	0.2306	0.2126
260	2/11/2016 19:00	8.444	11.492	0.2306	0.2117
261	2/11/2016 20:00	7.995	10.1	0.2306	0.2112
262	2/11/2016 21:00	4.48	6.914	0.2306	0.2117
263	2/11/2016 22:00	2.85	5.334	0.2311	0.2122
264	2/11/2016 23:00	1.913	4.844	0.2311	0.2117
265	2/12/2016 0:00	0.522	3.801	0.2306	0.2112
266	2/12/2016 1:00	1.317	4.324	0.2306	0.2112
267	2/12/2016 2:00	0.19	3.142	0.2306	0.2112
268	2/12/2016 3:00	2.074	4.272	0.2306	0.2104
269	2/12/2016 4:00	1.588	3.485	0.2303	0.2109
270	2/12/2016 5:00	1.262	3.301	0.2303	0.2104
271	2/12/2016 6:00	1.832	4.454	0.2306	0.21
272	2/12/2016 7:00	2.503	4.558	0.2306	0.21
273	2/12/2016 8:00	16.272	14.745	0.2294	0.2052
274	2/12/2016 9:00	25.598	25.671	0.2282	0.202
275	2/12/2016 10:00	27.038	26.256	0.2274	0.2012
276	2/12/2016 11:00	30.571	30.824	0.2266	0.1994
277	2/12/2016 12:00	28.841	31.944	0.2262	0.1994
278	2/12/2016 13:00	28.642	33.966	0.2257	0.1981
279	2/12/2016 14:00	24.315	31.612	0.2257	0.1985
280	2/12/2016 15:00	21.223	28.468	0.2262	0.1981
281	2/12/2016 16:00	17.843	23.184	0.2262	0.199
282	2/12/2016 17:00	12.823	14.577	0.2262	0.2017
283	2/12/2016 18:00	8.817	10.173	0.2262	0.2026
284	2/12/2016 19:00	7.619	8.99	0.2262	0.202
285	2/12/2016 20:00	7.091	8.394	0.2262	0.2012
286	2/12/2016 21:00	5.591	7.268	0.2262	0.2012
287	2/12/2016 22:00	4.089	5.949	0.2266	0.2017
288	2/12/2016 23:00	4.194	5.949	0.2262	0.2008
289	2/13/2016 0:00	3.009	5.154	0.2269	0.2012
290	2/13/2016 1:00	1.48	3.459	0.2269	0.2012
291	2/13/2016 2:00	1.453	3.591	0.2269	0.2012
292	2/13/2016 3:00	1.507	3.248	0.2269	0.2012
293	2/13/2016 4:00	2.717	4.636	0.2269	0.2003
294	2/13/2016 5:00	2.262	3.775	0.2269	0.2003
295	2/13/2016 6:00	4.376	5.924	0.2269	0.1999
296	2/13/2016 7:00	4.61	6.153	0.2266	0.1999
297	2/13/2016 8:00	10.614	12.992	0.2266	0.1972
298	2/13/2016 9:00	16.63	14.864	0.2257	0.1948
299	2/13/2016 10:00	33.574	27.186	0.2237	0.1908
300	2/13/2016 11:00	29.315	28.941	0.2237	0.1913
301	2/13/2016 12:00	28.32	30.722	0.2232	0.1904
302	2/13/2016 13:00	27.899	32.562	0.2229	0.1895
303	2/13/2016 14:00	27.087	31.996	0.2229	0.1891
304	2/13/2016 15:00	24.677	31.944	0.2229	0.1881
305	2/13/2016 16:00	19.246	26.598	0.2232	0.1885
306	2/13/2016 17:00	13.209	16.558	0.2237	0.1908
307	2/13/2016 18:00	8.543	10.712	0.2241	0.1926
308	2/13/2016 19:00	6.484	8.295	0.2241	0.1923
309	2/13/2016 20:00	4.714	6.331	0.2241	0.1923
310	2/13/2016 21:00	2.956	5.102	0.2241	0.1917
311	2/13/2016 22:00	3.696	5.411	0.2241	0.1913
312	2/13/2016 23:00	2.101	4.168	0.2241	0.1917
313	2/14/2016 0:00	1.67	4.037	0.2237	0.1908
314	2/14/2016 1:00	-0.311	3.089	0.2241	0.1913
315	2/14/2016 2:00	0.467	3.274	0.2241	0.1908
316	2/14/2016 3:00	1.94	3.564	0.2241	0.1908
317	2/14/2016 4:00	2.85	4.402	0.2241	0.1904
318	2/14/2016 5:00	1.67	3.617	0.2241	0.1908
319	2/14/2016 6:00	0.163	2.423	0.2241	0.1908
320	2/14/2016 7:00	0.742	2.903	0.2241	0.1908
321	2/14/2016 8:00	13.329	13.69	0.2232	0.1859
322	2/14/2016 9:00	24.581	21.39	0.2219	0.184
323	2/14/2016 10:00	32.794	25.162	0.2208	0.182
324	2/14/2016 11:00	30.798	31.001	0.2203	0.1813
325	2/14/2016 12:00	30.444	31.689	0.2198	0.1803
326	2/14/2016 13:00	29.389	33.157	0.2195	0.1803
327	2/14/2016 14:00	29.29	35.395	0.219	0.1793
328	2/14/2016 15:00	24.171	30.9	0.2198	0.1803
329	2/14/2016 16:00	18.866	25.72	0.2198	0.1797
330	2/14/2016 17:00	11.637	14.218	0.2198	0.1826
331	2/14/2016 18:00	6.458	8.469	0.2198	0.1836
332	2/14/2016 19:00	5.308	7.293	0.2203	0.1826
333	2/14/2016 20:00	5.179	6.864	0.2198	0.1816
334	2/14/2016 21:00	5.77	7.87	0.2198	0.1813
335	2/14/2016 22:00	5.024	6.636	0.2198	0.1813
336	2/14/2016 23:00	2.77	4.714	0.2198	0.1816
337	2/15/2016 0:00	1.534	4.298	0.2198	0.1816
338	2/15/2016 1:00	2.503	4.376	0.2198	0.1813
339	2/15/2016 2:00	2.45	4.011	0.2195	0.1807
340	2/15/2016 3:00	2.262	4.584	0.2195	0.1807
341	2/15/2016 4:00	3.406	5.231	0.2195	0.1807
342	2/15/2016 5:00	2.343	4.089	0.2195	0.1807
343	2/15/2016 6:00	2.316	3.906	0.2195	0.1813
344	2/15/2016 7:00	1.561	4.063	0.2195	0.1807
345	2/15/2016 8:00	15.175	17.391	0.2182	0.1752
346	2/15/2016 9:00	22.944	21.676	0.2174	0.1746
347	2/15/2016 10:00	27.21	28.171	0.2161	0.1728
348	2/15/2016 11:00	34.413	30.773	0.2153	0.1718
349	2/15/2016 12:00	36.688	36.362	0.2143	0.1714
350	2/15/2016 13:00	29.765	35.985	0.2148	0.1714
351	2/15/2016 14:00	25.186	31.996	0.2148	0.1718
352	2/15/2016 15:00	21.891	29.59	0.2148	0.1714
353	2/15/2016 16:00	18.129	24.05	0.2148	0.1709
354	2/15/2016 17:00	13.81	17.439	0.2148	0.1714
355	2/15/2016 18:00	8.419	10.124	0.2143	0.1732
356	2/15/2016 19:00	6.23	8.045	0.2143	0.1728
357	2/15/2016 20:00	5.205	7.142	0.2143	0.1718
358	2/15/2016 21:00	5.231	7.393	0.2143	0.1714
359	2/15/2016 22:00	4.402	6.382	0.2143	0.1714
360	2/15/2016 23:00	6.23	7.97	0.2139	0.1703
361	2/16/2016 0:00	3.906	5.745	0.2143	0.1709
362	2/16/2016 1:00	3.749	6.687	0.2139	0.1703
363	2/16/2016 2:00	5.334	7.116	0.2139	0.1699
364	2/16/2016 3:00	3.906	5.616	0.2139	0.1703
365	2/16/2016 4:00	4.688	6.585	0.2139	0.1699
366	2/16/2016 5:00	2.128	3.801	0.2139	0.1703
367	2/16/2016 6:00	0.742	3.036	0.2139	0.1703
368	2/16/2016 7:00	2.155	4.168	0.2139	0.1699
369	2/16/2016 8:00	15.175	14.864	0.2126	0.1663
370	2/16/2016 9:00	30.9	26.475	0.2109	0.1638
371	2/16/2016 10:00	38.56	30.874	0.2095	0.1634
372	2/16/2016 11:00	42.149	35.85	0.2087	0.1634
373	2/16/2016 12:00	36.579	39.46	0.2087	0.1634
374	2/16/2016 13:00	32.587	39.63	0.2083	0.1634
375	2/16/2016 14:00	30.167	39.149	0.2078	0.1629
376	2/16/2016 15:00	26.671	37.728	0.2073	0.1619
377	2/16/2016 16:00	23.136	31.51	0.207	0.1608
378	2/16/2016 17:00	17.153	20.436	0.207	0.1615
379	2/16/2016 18:00	10.075	12.558	0.207	0.1623
380	2/16/2016 19:00	8.394	11.734	0.2064	0.1608
381	2/16/2016 20:00	6.179	9.262	0.2061	0.1604
382	2/16/2016 21:00	4.376	8.593	0.2061	0.16
383	2/16/2016 22:00	3.958	7.469	0.2061	0.16
384	2/16/2016 23:00	3.406	6.382	0.2061	0.1596
385	2/17/2016 0:00	5.154	7.72	0.2056	0.1585
386	2/17/2016 1:00	4.818	7.945	0.2056	0.1581
387	2/17/2016 2:00	7.142	12.485	0.2052	0.1566
388	2/17/2016 3:00	10.247	14.433	0.2047	0.1562
389	2/17/2016 4:00	12.34	15.342	0.2043	0.1562
390	2/17/2016 5:00	13.738	16.034	0.2038	0.1566
391	2/17/2016 6:00	12.025	14.768	0.2038	0.1562
392	2/17/2016 7:00	8.916	11.856	0.2035	0.1562
393	2/17/2016 8:00	15.867	17.011	0.2029	0.1562
394	2/17/2016 9:00	18.557	18.533	0.2026	0.1551
395	2/17/2016 10:00	23.328	21.413	0.2017	0.1547
396	2/17/2016 11:00	19.793	19.436	0.2012	0.1551
397	2/17/2016 12:00	18.438	18.557	0.2012	0.1558
398	2/17/2016 13:00	17.796	17.748	0.2008	0.1551
399	2/17/2016 14:00	16.272	16.177	0.1999	0.1558
400	2/17/2016 15:00	12.413	12.775	0.2003	0.1562
401	2/17/2016 16:00	13.233	13.353	0.1999	0.1558
402	2/17/2016 17:00	12.413	12.799	0.1999	0.1558
403	2/17/2016 18:00	10.956	11.929	0.1999	0.1562
404	2/17/2016 19:00	11.248	11.88	0.1994	0.1547
405	2/17/2016 20:00	11.589	12.098	0.1994	0.1547
406	2/17/2016 21:00	11.175	11.856	0.1994	0.1547
407	2/17/2016 22:00	10.712	11.224	0.199	0.1547
408	2/17/2016 23:00	10.663	11.492	0.1994	0.1547
409	2/18/2016 0:00	11.224	11.977	0.199	0.1547
410	2/18/2016 1:00	10.932	11.686	0.199	0.1547
411	2/18/2016 2:00	8.916	10.222	0.199	0.1547
412	2/18/2016 3:00	9.903	10.124	0.199	0.1547
413	2/18/2016 4:00	7.97	7.92	0.2003	0.1596
414	2/18/2016 5:00	6.179	6.408	0.2008	0.1619
415	2/18/2016 6:00	5.282	6.077	0.2008	0.1615
416	2/18/2016 7:00	3.801	5.334	0.2008	0.1608
417	2/18/2016 8:00	12.944	11.005	0.1999	0.1581
418	2/18/2016 9:00	22.776	16.939	0.199	0.1566
419	2/18/2016 10:00	26.695	19.056	0.1985	0.1551
420	2/18/2016 11:00	34.019	30.722	0.1981	0.1547
421	2/18/2016 12:00	34.704	27.751	0.1972	0.1551
422	2/18/2016 13:00	30.394	34.071	0.1972	0.1558
423	2/18/2016 14:00	24.122	28.841	0.1972	0.1551
424	2/18/2016 15:00	20.865	27.186	0.1972	0.1547
425	2/18/2016 16:00	15.7	26.061	0.1972	0.1542
426	2/18/2016 17:00	11.053	15.724	0.1967	0.1538
427	2/18/2016 18:00	4.011	6.026	0.1963	0.1558
428	2/18/2016 19:00	2.557	4.402	0.1963	0.1547
429	2/18/2016 20:00	1.044	3.301	0.1958	0.1542
430	2/18/2016 21:00	1.832	3.801	0.1958	0.1532
431	2/18/2016 22:00	-0.591	1.886	0.1963	0.1532
432	2/18/2016 23:00	-1.128	0.66	0.1958	0.1532
433	2/19/2016 0:00	-0.986	0.742	0.1958	0.1527
434	2/19/2016 1:00	-1.384	0.329	0.1958	0.1523
435	2/19/2016 2:00	-2.044	-0.088	0.1958	0.1523
436	2/19/2016 3:00	-2.276	-0.004	0.1954	0.1519
437	2/19/2016 4:00	-2.015	-0.311	0.1954	0.1519
438	2/19/2016 5:00	-2.596	-0.535	0.1954	0.1519
439	2/19/2016 6:00	-2.45	-0.648	0.1954	0.1519
440	2/19/2016 7:00	-0.873	0.742	0.1954	0.1514
441	2/19/2016 8:00	13.401	12.582	0.1945	0.1484
442	2/19/2016 9:00	24.968	19.579	0.1935	0.1479
