Plot Title: 10859595					
#	Date Time GMT-05:00	Temp °C (LGR S/N: 10859595 SEN S/N: 10868938)	Water Content m³/m³ (LGR S/N: 10859595 SEN S/N: 10879369)	Temp °C (LGR S/N: 10859595 SEN S/N: 10981827)	Water Content m³/m³ (LGR S/N: 10859595 SEN S/N: 11000470)
1	2/10/2017 19:10	13.473	-0.221	12.992	-0.289
2	2/10/2017 20:10	12.703	0.3451	11.929	0.1859
3	2/10/2017 21:10	12.461	0.3432	11.71	0.1895
4	2/10/2017 22:10	12.195	0.3461	11.686	0.1926
5	2/10/2017 23:10	12.268	0.35	11.783	0.1945
6	2/11/2017 0:10	12.243	0.3677	11.783	0.1976
7	2/11/2017 1:10	11.832	0.3859	11.248	0.2083
8	2/11/2017 2:10	11.783	0.3872	11.2	0.2232
9	2/11/2017 3:10	11.467	0.3758	10.932	0.2311
10	2/11/2017 4:10	11.248	0.3677	10.81	0.2363
11	2/11/2017 5:10	10.198	0.3628	9.928	0.2383
12	2/11/2017 6:10	10.149	0.3594	9.706	0.2399
13	2/11/2017 7:10	9.336	0.3573	8.965	0.2399
14	2/11/2017 8:10	8.394	0.3557	8.245	0.2406
15	2/11/2017 9:10	7.945	0.3553	7.87	0.2399
16	2/11/2017 10:10	8.045	0.3542	7.895	0.2403
17	2/11/2017 11:10	10.932	0.3542	9.632	0.239
18	2/11/2017 12:10	12.509	0.3531	10.32	0.239
19	2/11/2017 13:10	21.223	0.3526	19.341	0.2371
20	2/11/2017 14:10	15.127	0.35	12.098	0.2394
21	2/11/2017 15:10	15.055	0.349	12.678	0.2394
22	2/11/2017 16:10	11.929	0.3471	9.854	0.2403
23	2/11/2017 17:10	13.209	0.3466	11.419	0.239
24	2/11/2017 18:10	10.296	0.3447	9.287	0.2394
25	2/11/2017 19:10	10.222	0.3437	8.643	0.2383
26	2/11/2017 20:10	9.188	0.3432	8.245	0.2379
27	2/11/2017 21:10	8.767	0.3422	8.17	0.2374
28	2/11/2017 22:10	8.841	0.3422	8.27	0.2371
29	2/11/2017 23:10	8.841	0.3418	8.369	0.2363
30	2/12/2017 0:10	7.419	0.3408	7.318	0.2358
31	2/12/2017 1:10	6.535	0.3403	6.535	0.2358
32	2/12/2017 2:10	6.077	0.3399	6.255	0.2358
33	2/12/2017 3:10	5.796	0.3399	5.462	0.2355
34	2/12/2017 4:10	5.77	0.3393	5.77	0.2351
35	2/12/2017 5:10	5.693	0.3393	6.281	0.2344
36	2/12/2017 6:10	4.766	0.3389	4.947	0.2351
37	2/12/2017 7:10	4.324	0.3384	4.506	0.2335
38	2/12/2017 8:10	4.428	0.3384	4.947	0.233
39	2/12/2017 9:10	4.506	0.3384	5.437	0.233
40	2/12/2017 10:10	4.089	0.338	4.506	0.233
41	2/12/2017 11:10	9.632	0.3393	9.485	0.2315
42	2/12/2017 12:10	13.81	0.3412	13.112	0.2306
43	2/12/2017 13:10	19.936	0.3427	22.202	0.2282
44	2/12/2017 14:10	20.936	0.3432	19.508	0.2315
45	2/12/2017 15:10	23.617	0.3447	25.525	0.2303
46	2/12/2017 16:10	24.436	0.3441	25.525	0.2315
47	2/12/2017 17:10	24.823	0.3441	27.136	0.2311
48	2/12/2017 18:10	22.369	0.3432	23.4	0.2335
49	2/12/2017 19:10	18.438	0.3408	18.01	0.233
50	2/12/2017 20:10	15.891	-0.1912	17.724	-0.267
51	2/12/2017 21:10	10.443	-0.1987	10.907	-0.2732
52	2/12/2017 22:10	9.287	-0.2	9.682	-0.2732
53	2/12/2017 23:10	8.668	-0.1987	9.139	-0.2732
54	2/13/2017 0:10	8.195	-0.1974	8.742	-0.2716
55	2/13/2017 1:10	7.77	-0.1962	8.543	-0.2701
56	2/13/2017 2:10	6.484	-0.1887	7.343	-0.2655
57	2/13/2017 3:10	5.949	-0.1826	6.94	-0.2594
58	2/13/2017 4:10	5.437	-0.1755	6.535	-0.2535
59	2/13/2017 5:10	4.74	-0.1685	5.898	-0.2476
60	2/13/2017 6:10	4.402	-0.1594	5.565	-0.2433
61	2/13/2017 7:10	3.827	-0.1538	4.947	-0.2404
62	2/13/2017 8:10	3.459	-0.1495	4.662	-0.2362
63	2/13/2017 9:10	4.011	-0.1517	5.231	-0.2334
64	2/13/2017 10:10	3.538	-0.1538	4.376	-0.2348
65	2/13/2017 11:10	9.287	-0.1708	10.858	-0.264
66	2/13/2017 12:10	16.844	-0.1838	20.007	-0.2686
67	2/13/2017 13:10	23.064	-0.1937	26.72	-0.267
68	2/13/2017 14:10	28.023	-0.1875	29.34	-0.264
69	2/13/2017 15:10	31.689	-0.1875	31.433	-0.2625
70	2/13/2017 16:10	33.6	-0.1912	32.021	-0.264
71	2/13/2017 17:10	31.868	-0.1924	30.117	-0.267
72	2/13/2017 18:10	34.387	-0.1912	31.561	-0.267
73	2/13/2017 19:10	26.402	-0.1949	24.146	-0.2701
74	2/13/2017 20:10	20.388	-0.1974	18.509	-0.2716
75	2/13/2017 21:10	14.29	-0.2	14.625	-0.2747
76	2/13/2017 22:10	12.606	-0.2012	12.582	-0.2732
77	2/13/2017 23:10	11.734	-0.2012	11.637	-0.2747
78	2/14/2017 0:10	11.053	-0.1987	10.956	-0.2747
79	2/14/2017 1:10	10.736	-0.1974	10.932	-0.2747
80	2/14/2017 2:10	10.198	-0.1949	10.149	-0.2747
81	2/14/2017 3:10	9.41	-0.1962	9.04	-0.2732
82	2/14/2017 4:10	9.188	-0.1962	9.04	-0.2732
83	2/14/2017 5:10	7.97	-0.1974	7.544	-0.2732
84	2/14/2017 6:10	9.41	-0.1962	9.46	-0.2732
85	2/14/2017 7:10	8.593	-0.1949	8.22	-0.2716
86	2/14/2017 8:10	7.77	-0.1924	8.27	-0.2701
87	2/14/2017 9:10	7.268	-0.1838	7.795	-0.2625
88	2/14/2017 10:10	6.94	-0.1755	7.393	-0.258
89	2/14/2017 11:10	10.1	-0.1838	10.541	-0.2701
90	2/14/2017 12:10	15.557	-0.1887	17.249	-0.2701
91	2/14/2017 13:10	22.824	-0.1887	23.905	-0.2686
92	2/14/2017 14:10	28.941	-0.1875	30.066	-0.2655
93	2/14/2017 15:10	33.209	-0.1875	33.521	-0.2655
94	2/14/2017 16:10	35.77	-0.1887	35.77	-0.2655
95	2/14/2017 17:10	36.039	-0.1912	33.131	-0.2655
96	2/14/2017 18:10	35.315	-0.1924	33.443	-0.2686
97	2/14/2017 19:10	28.32	-0.1962	25.331	-0.2701
98	2/14/2017 20:10	21.819	-0.1987	19.436	-0.2732
99	2/14/2017 21:10	14.649	-0.2025	14.433	-0.2747
100	2/14/2017 22:10	12.558	-0.2025	12.098	-0.2732
101	2/14/2017 23:10	11.443	-0.2	11.029	-0.2716
102	2/15/2017 0:10	10.345	-0.2012	9.854	-0.2716
103	2/15/2017 1:10	9.534	-0.1987	9.238	-0.2686
104	2/15/2017 2:10	8.717	-0.1987	8.245	-0.2686
105	2/15/2017 3:10	8.145	-0.1974	7.494	-0.267
106	2/15/2017 4:10	7.695	-0.1987	7.419	-0.267
107	2/15/2017 5:10	7.494	-0.2012	7.368	-0.2701
108	2/15/2017 6:10	7.895	-0.2025	7.945	-0.2701
109	2/15/2017 7:10	7.343	-0.2038	7.519	-0.2716
110	2/15/2017 8:10	6.788	-0.2051	7.142	-0.2716
111	2/15/2017 9:10	6.687	-0.2051	6.763	-0.2716
112	2/15/2017 10:10	6.051	-0.2051	6	-0.2701
113	2/15/2017 11:10	14.936	-0.2038	17.724	-0.2701
114	2/15/2017 12:10	19.318	-0.2051	20.889	-0.2701
115	2/15/2017 13:10	26.793	-0.2025	30.041	-0.267
116	2/15/2017 14:10	30.343	-0.1987	30.041	-0.267
117	2/15/2017 15:10	31.816	-0.2	33.261	-0.2686
118	2/15/2017 16:10	30.217	-0.2012	31.791	-0.2701
119	2/15/2017 17:10	26.989	-0.2038	27.85	-0.2716
120	2/15/2017 18:10	30.016	-0.2025	30.495	-0.2701
121	2/15/2017 19:10	29.79	-0.2038	29.54	-0.2701
122	2/15/2017 20:10	19.008	-0.2064	18.699	-0.2747
123	2/15/2017 21:10	15.175	-0.2103	14.529	-0.2747
124	2/15/2017 22:10	14.96	-0.209	14.792	-0.2747
125	2/15/2017 23:10	12.582	-0.2103	11.807	-0.2747
126	2/16/2017 0:10	12.122	-0.209	12.122	-0.2747
127	2/16/2017 1:10	10.81	-0.209	10.565	-0.2747
128	2/16/2017 2:10	9.731	-0.2103	8.965	-0.2747
129	2/16/2017 3:10	8.941	-0.2103	8.618	-0.2732
130	2/16/2017 4:10	8.195	-0.209	7.192	-0.2716
131	2/16/2017 5:10	7.519	-0.2064	6.585	-0.2701
132	2/16/2017 6:10	7.343	-0.2012	6.889	-0.267
133	2/16/2017 7:10	6.763	-0.1987	6.077	-0.2625
134	2/16/2017 8:10	6.204	-0.1937	5.821	-0.2565
135	2/16/2017 9:10	6.051	-0.1863	5.796	-0.2505
136	2/16/2017 10:10	6.357	-0.1863	5.949	-0.252
137	2/16/2017 11:10	9.657	-0.2012	10.541	-0.2701
138	2/16/2017 12:10	12.968	-0.2103	12.847	-0.2716
139	2/16/2017 13:10	13.016	-0.2129	13.281	-0.2732
140	2/16/2017 14:10	12.05	-0.1628	11.346	-0.252
141	2/16/2017 15:10	11.977	-0.185	11.151	-0.2535
142	2/16/2017 16:10	12.968	-0.1838	12.678	-0.2565
143	2/16/2017 17:10	12.703	-0.1247	17.439	-0.2264
144	2/16/2017 18:10	12.485	-0.1287	15.652	-0.209
145	2/16/2017 19:10	11.151	-0.1561	14.601	-0.2169
146	2/16/2017 20:10	11.102	-0.1616	11.005	-0.221
147	2/16/2017 21:10	10.761	-0.1639	10.541	-0.221
148	2/16/2017 22:10	10.638	-0.1685	10.761	-0.2237
149	2/16/2017 23:10	10.369	-0.1358	10.565	-0.209
150	2/17/2017 0:10	10.369	-0.1327	12.968	-0.1974
151	2/17/2017 1:10	10.149	-0.1237	12.389	-0.1863
152	2/17/2017 2:10	10.075	-0.1389	13.088	-0.1863
153	2/17/2017 3:10	9.805	-0.1267	12.268	-0.1814
154	2/17/2017 4:10	9.78	-0.1327	12.871	-0.179
155	2/17/2017 5:10	9.805	-0.141	13.834	-0.1838
156	2/17/2017 6:10	9.829	-0.1218	12.195	-0.1708
157	2/17/2017 7:10	9.608	-0.1484	13.064	-0.1826
158	2/17/2017 8:10	9.485	-0.1572	13.329	-0.1875
159	2/17/2017 9:10	8.618	-0.1247	11.637	-0.1731
160	2/17/2017 10:10	8.394	-0.1227	10.834	-0.1696
161	2/17/2017 11:10	8.767	-0.1122	11.443	-0.1616
162	2/17/2017 12:10	9.139	-0.1131	12.025	-0.1594
163	2/17/2017 13:10	9.485	-0.1057	12.34	-0.141
164	2/17/2017 14:10	9.46	-0.0932	12.751	-0.142
165	2/17/2017 15:10	9.509	-0.0436	12.944	-0.1218
166	2/17/2017 16:10	9.805	-0.0572	13.497	-0.1198
167	2/17/2017 17:10	10.198	-0.0632	13.762	-0.1267
168	2/17/2017 18:10	10.051	-0.0757	13.954	-0.1337
169	2/17/2017 19:10	10.222	-0.0814	14.649	-0.1358
170	2/17/2017 20:10	9.756	-0.0789	14.481	-0.1389
171	2/17/2017 21:10	9.41	-0.0855	14.098	-0.1517
172	2/17/2017 22:10	9.46	-0.0976	12.751	-0.1743
173	2/17/2017 23:10	9.114	-0.095	11.662	-0.1731
